,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,Time
0,INdtCE6M5w4,AntismartDevil,Only Chicken Dinner Gameplay ! | #bgmi #antismartdevil,"Starting Songs : https://www.youtube.com/@ARMOONFLIP 

☆ Business Enquiry : antismartdevil02@gmail.com

☆ Instagram : https://www.instagram.com/antismartde...
     
☆ Discord : https://discord.gg/Vcrgtuf

☆ Phonepe/Gpay : 7045549172


​☆ Membership Link : https://www.youtube.com/channel/UC3ea...
----------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------
☆ Rules to be followed in livechat.

1. Please do not spam any links or words.

2. Don't use excessive emojis.

3. Please be respectful with everyone in the  chat.
    
4. Please obey the MODS and the Nightbot , Disobeying will result to timeouts .


5. No hate speech. 
----------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------
 💻 PC SPECIFICATIONS

  💠   Processor- Ryzen 3700x
  💠   Mouse pad - Redgear Manta large 
  💠   SSD - 250 GB  nvme 
  💠   HDD - 1TB
  💠   Ram -16GB Gskill Trident z RGB 
  💠   MotherBoard -B450 Aorus Pro Wifi
  💠   Graphic Card - Aorus Geforce RTX 2070 Super 
  💠   Cabinet - Cooler Master MASTERBOX MB520 RGB
  💠   PSU - 750W 80 + gold
  💠   Monitor - 144hz MSI Optix G24
  💠   Keyboard - RedGear Manta  
  💠   Mouse -  Logitech G102
  💠   Headphones -  RedGear Cloak Wired .


#bgmi #bgmilive #antismartdevil",['tlrp'],2023-06-05,243,75.0,,0,PT4H31M18S,hd,false,21:39:39
1,yH0WZXsm93o,AntismartDevil,All Eyez On Me 👀,Just My homies !,,2023-06-01,1836,360.0,,30,PT15S,hd,false,12:00:53
2,jkrC0SP362I,AntismartDevil,BGMI NOW ! | PC GAMES LATER ! | AntismartDevil,"Starting Songs : https://www.youtube.com/@ARMOONFLIP 

☆ Business Enquiry : antismartdevil02@gmail.com

☆ Instagram : https://www.instagram.com/antismartde...
     
☆ Discord : https://discord.gg/Vcrgtuf

☆ Phonepe/Gpay : 7045549172


​☆ Membership Link : https://www.youtube.com/channel/UC3ea...
----------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------
☆ Rules to be followed in livechat.

1. Please do not spam any links or words.

2. Don't use excessive emojis.

3. Please be respectful with everyone in the  chat.
    
4. Please obey the MODS and the Nightbot , Disobeying will result to timeouts .


5. No hate speech. 
----------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------
 💻 PC SPECIFICATIONS

  💠   Processor- Ryzen 3700x
  💠   Mouse pad - Redgear Manta large 
  💠   SSD - 250 GB  nvme 
  💠   HDD - 1TB
  💠   Ram -16GB Gskill Trident z RGB 
  💠   MotherBoard -B450 Aorus Pro Wifi
  💠   Graphic Card - Aorus Geforce RTX 2070 Super 
  💠   Cabinet - Cooler Master MASTERBOX MB520 RGB
  💠   PSU - 750W 80 + gold
  💠   Monitor - 144hz MSI Optix G24
  💠   Keyboard - RedGear Manta  
  💠   Mouse -  Logitech G102
  💠   Headphones -  RedGear Cloak Wired .


#tonydsouza #gtarp #tlrp",['tlrp'],2023-05-30,487,125.0,,1,PT3H14M1S,hd,false,21:10:13
3,7SsZYR4dYkI,AntismartDevil,KATHIL GAMEPLAY ONLY ! | #bgmi #antismartdevil,"Starting Songs : https://www.youtube.com/@ARMOONFLIP 

☆ Business Enquiry : antismartdevil02@gmail.com

☆ Instagram : https://www.instagram.com/antismartde...
     
☆ Discord : https://discord.gg/Vcrgtuf

☆ Phonepe/Gpay : 7045549172


​☆ Membership Link : https://www.youtube.com/channel/UC3ea...
----------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------
☆ Rules to be followed in livechat.

1. Please do not spam any links or words.

2. Don't use excessive emojis.

3. Please be respectful with everyone in the  chat.
    
4. Please obey the MODS and the Nightbot , Disobeying will result to timeouts .


5. No hate speech. 
----------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------
 💻 PC SPECIFICATIONS

  💠   Processor- Ryzen 3700x
  💠   Mouse pad - Redgear Manta large 
  💠   SSD - 250 GB  nvme 
  💠   HDD - 1TB
  💠   Ram -16GB Gskill Trident z RGB 
  💠   MotherBoard -B450 Aorus Pro Wifi
  💠   Graphic Card - Aorus Geforce RTX 2070 Super 
  💠   Cabinet - Cooler Master MASTERBOX MB520 RGB
  💠   PSU - 750W 80 + gold
  💠   Monitor - 144hz MSI Optix G24
  💠   Keyboard - RedGear Manta  
  💠   Mouse -  Logitech G102
  💠   Headphones -  RedGear Cloak Wired .


#bgmi #bgmilive #antismartdevil",['tlrp'],2023-05-30,438,80.0,,0,PT3H20M34S,hd,false,15:10:53
4,puqWU0vkYeU,AntismartDevil,BGMI IS BACK ! | Only Pro Gameplay ! | #bgmi #antismartdevil,"Starting Songs : https://www.youtube.com/@ARMOONFLIP 

☆ Business Enquiry : antismartdevil02@gmail.com

☆ Instagram : https://www.instagram.com/antismartde...
     
☆ Discord : https://discord.gg/Vcrgtuf

☆ Phonepe/Gpay : 7045549172


​☆ Membership Link : https://www.youtube.com/channel/UC3ea...
----------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------
☆ Rules to be followed in livechat.

1. Please do not spam any links or words.

2. Don't use excessive emojis.

3. Please be respectful with everyone in the  chat.
    
4. Please obey the MODS and the Nightbot , Disobeying will result to timeouts .


5. No hate speech. 
----------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------
 💻 PC SPECIFICATIONS

  💠   Processor- Ryzen 3700x
  💠   Mouse pad - Redgear Manta large 
  💠   SSD - 250 GB  nvme 
  💠   HDD - 1TB
  💠   Ram -16GB Gskill Trident z RGB 
  💠   MotherBoard -B450 Aorus Pro Wifi
  💠   Graphic Card - Aorus Geforce RTX 2070 Super 
  💠   Cabinet - Cooler Master MASTERBOX MB520 RGB
  💠   PSU - 750W 80 + gold
  💠   Monitor - 144hz MSI Optix G24
  💠   Keyboard - RedGear Manta  
  💠   Mouse -  Logitech G102
  💠   Headphones -  RedGear Cloak Wired .


#bgmi #bgmilive #antismartdevil",['tlrp'],2023-05-29,762,151.0,,0,PT4H18M46S,hd,false,23:12:09
5,cH1mNGugbVY,AntismartDevil,"Tony ""Abbajaan"" Dsouza ! | The Legends Roleplay ! | #bandhilki #tlrp #triads","Starting Songs : https://www.youtube.com/@ARMOONFLIP 

☆ Business Enquiry : antismartdevil02@gmail.com

☆ Instagram : https://www.instagram.com/antismartde...
     
☆ Discord : https://discord.gg/Vcrgtuf

☆ Phonepe/Gpay : 7045549172


​☆ Membership Link : https://www.youtube.com/channel/UC3ea...
----------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------
☆ Rules to be followed in livechat.

1. Please do not spam any links or words.

2. Don't use excessive emojis.

3. Please be respectful with everyone in the  chat.
    
4. Please obey the MODS and the Nightbot , Disobeying will result to timeouts .


5. No hate speech. 
----------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------
 💻 PC SPECIFICATIONS

  💠   Processor- Ryzen 3700x
  💠   Mouse pad - Redgear Manta large 
  💠   SSD - 250 GB  nvme 
  💠   HDD - 1TB
  💠   Ram -16GB Gskill Trident z RGB 
  💠   MotherBoard -B450 Aorus Pro Wifi
  💠   Graphic Card - Aorus Geforce RTX 2070 Super 
  💠   Cabinet - Cooler Master MASTERBOX MB520 RGB
  💠   PSU - 750W 80 + gold
  💠   Monitor - 144hz MSI Optix G24
  💠   Keyboard - RedGear Manta  
  💠   Mouse -  Logitech G102
  💠   Headphones -  RedGear Cloak Wired .


#tonydsouza #gtarp #tlrp",['tlrp'],2023-05-27,1121,177.0,,1,PT2H26M25S,hd,false,20:38:37
6,ufdc0R562CM,AntismartDevil,Long Stream ! | AntismartDevil | #bandhilki #gtarp #valorant,"Starting Songs : https://www.youtube.com/@ARMOONFLIP 

☆ Business Enquiry : antismartdevil02@gmail.com

☆ Instagram : https://www.instagram.com/antismartde...
     
☆ Discord : https://discord.gg/Vcrgtuf

☆ Phonepe/Gpay : 7045549172


​☆ Membership Link : https://www.youtube.com/channel/UC3ea...
----------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------
☆ Rules to be followed in livechat.

1. Please do not spam any links or words.

2. Don't use excessive emojis.

3. Please be respectful with everyone in the  chat.
    
4. Please obey the MODS and the Nightbot , Disobeying will result to timeouts .


5. No hate speech. 
----------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------
 💻 PC SPECIFICATIONS

  💠   Processor- Ryzen 3700x
  💠   Mouse pad - Redgear Manta large 
  💠   SSD - 250 GB  nvme 
  💠   HDD - 1TB
  💠   Ram -16GB Gskill Trident z RGB 
  💠   MotherBoard -B450 Aorus Pro Wifi
  💠   Graphic Card - Aorus Geforce RTX 2070 Super 
  💠   Cabinet - Cooler Master MASTERBOX MB520 RGB
  💠   PSU - 750W 80 + gold
  💠   Monitor - 144hz MSI Optix G24
  💠   Keyboard - RedGear Manta  
  💠   Mouse -  Logitech G102
  💠   Headphones -  RedGear Cloak Wired .


#tonydsouza #gtarp #tlrp",['tlrp'],2023-05-26,1138,182.0,,0,PT9H55M44S,hd,false,21:31:11
7,oWM6JTKANdk,AntismartDevil,PUBG PC LIVE ! | #bandhilki #tlrp #triads,"Starting Songs : https://www.youtube.com/@ARMOONFLIP 

☆ Business Enquiry : antismartdevil02@gmail.com

☆ Instagram : https://www.instagram.com/antismartde...
     
☆ Discord : https://discord.gg/Vcrgtuf

☆ Phonepe/Gpay : 7045549172


​☆ Membership Link : https://www.youtube.com/channel/UC3ea...
----------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------
☆ Rules to be followed in livechat.

1. Please do not spam any links or words.

2. Don't use excessive emojis.

3. Please be respectful with everyone in the  chat.
    
4. Please obey the MODS and the Nightbot , Disobeying will result to timeouts .


5. No hate speech. 
----------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------
 💻 PC SPECIFICATIONS

  💠   Processor- Ryzen 3700x
  💠   Mouse pad - Redgear Manta large 
  💠   SSD - 250 GB  nvme 
  💠   HDD - 1TB
  💠   Ram -16GB Gskill Trident z RGB 
  💠   MotherBoard -B450 Aorus Pro Wifi
  💠   Graphic Card - Aorus Geforce RTX 2070 Super 
  💠   Cabinet - Cooler Master MASTERBOX MB520 RGB
  💠   PSU - 750W 80 + gold
  💠   Monitor - 144hz MSI Optix G24
  💠   Keyboard - RedGear Manta  
  💠   Mouse -  Logitech G102
  💠   Headphones -  RedGear Cloak Wired .


#tonydsouza #gtarp #tlrp",['tlrp'],2023-05-24,1032,151.0,,1,PT4H21M22S,hd,false,21:42:53
8,pe-I3ZjFzeY,AntismartDevil,"Tony ""Abbajaan"" Dsouza ! | The Legends Roleplay ! | #bandhilki #tlrp #triads","Starting Songs : https://www.youtube.com/@ARMOONFLIP 

☆ Business Enquiry : antismartdevil02@gmail.com

☆ Instagram : https://www.instagram.com/antismartde...
     
☆ Discord : https://discord.gg/Vcrgtuf

☆ Phonepe/Gpay : 7045549172


​☆ Membership Link : https://www.youtube.com/channel/UC3ea...
----------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------
☆ Rules to be followed in livechat.

1. Please do not spam any links or words.

2. Don't use excessive emojis.

3. Please be respectful with everyone in the  chat.
    
4. Please obey the MODS and the Nightbot , Disobeying will result to timeouts .


5. No hate speech. 
----------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------
 💻 PC SPECIFICATIONS

  💠   Processor- Ryzen 3700x
  💠   Mouse pad - Redgear Manta large 
  💠   SSD - 250 GB  nvme 
  💠   HDD - 1TB
  💠   Ram -16GB Gskill Trident z RGB 
  💠   MotherBoard -B450 Aorus Pro Wifi
  💠   Graphic Card - Aorus Geforce RTX 2070 Super 
  💠   Cabinet - Cooler Master MASTERBOX MB520 RGB
  💠   PSU - 750W 80 + gold
  💠   Monitor - 144hz MSI Optix G24
  💠   Keyboard - RedGear Manta  
  💠   Mouse -  Logitech G102
  💠   Headphones -  RedGear Cloak Wired .


#tonydsouza #gtarp #tlrp",['tlrp'],2023-05-23,1164,245.0,,0,PT4H44M15S,hd,false,21:45:31
9,iAOYziUDMJc,AntismartDevil,Aagya Bhaioo ! | Tony Dsouza | The Legends Roleplay ! | #bandhilki #tlrp,"Starting Songs : https://www.youtube.com/@ARMOONFLIP 

☆ Business Enquiry : antismartdevil02@gmail.com

☆ Instagram : https://www.instagram.com/antismartde...
     
☆ Discord : https://discord.gg/Vcrgtuf

☆ Phonepe/Gpay : 7045549172


​☆ Membership Link : https://www.youtube.com/channel/UC3ea...
----------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------
☆ Rules to be followed in livechat.

1. Please do not spam any links or words.

2. Don't use excessive emojis.

3. Please be respectful with everyone in the  chat.
    
4. Please obey the MODS and the Nightbot , Disobeying will result to timeouts .


5. No hate speech. 
----------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------
 💻 PC SPECIFICATIONS

  💠   Processor- Ryzen 3700x
  💠   Mouse pad - Redgear Manta large 
  💠   SSD - 250 GB  nvme 
  💠   HDD - 1TB
  💠   Ram -16GB Gskill Trident z RGB 
  💠   MotherBoard -B450 Aorus Pro Wifi
  💠   Graphic Card - Aorus Geforce RTX 2070 Super 
  💠   Cabinet - Cooler Master MASTERBOX MB520 RGB
  💠   PSU - 750W 80 + gold
  💠   Monitor - 144hz MSI Optix G24
  💠   Keyboard - RedGear Manta  
  💠   Mouse -  Logitech G102
  💠   Headphones -  RedGear Cloak Wired .


#tonydsouza #gtarp #tlrp",['tlrp'],2023-05-19,1338,224.0,,1,PT3H32M12S,hd,false,21:42:42
